date,consumerContainerCpm,producerCpuUsage,producerMemoryUsage,recordValue
2022-12-30 00:21:00,988,0.7894852727778021,12.856292724609375,748
2022-12-30 00:22:00,429,0.8994308305555244,12.779871622721354,673
2022-12-30 00:23:00,742,0.7601039777778041,12.781397501627604,719
2022-12-30 00:24:00,541,0.6971108922222098,12.782669067382812,591
2022-12-30 00:25:00,880,0.852403715000002,12.783177693684896,786
2022-12-30 00:26:00,761,0.7078657361111121,12.784703572591146,742
2022-12-30 00:27:00,644,0.9078670138889006,12.785975138346354,879
2022-12-30 00:28:00,1060,0.7797772438888887,12.788009643554688,886
2022-12-30 00:29:00,977,0.8936856061110947,12.789026896158854,859
2022-12-30 00:30:00,778,0.7489545177777915,12.790425618489584,808
2022-12-30 00:31:00,951,0.8344192716666518,12.792841593424479,883
2022-12-30 00:32:00,464,1.3213359600000114,12.862523396809896,690
